symbol,unix_open,unix_close,date_open,date_close,open,high,low,close,volume,dollar_volume,tick_size
ETHUSDT,1683669043466,1683669179994,2023-05-09 21:50:43.466000,2023-05-09 21:52:59.994000,1847.64,1847.65,1845.21,1845.59,266.423,491886.37,610
ETHUSDT,1683668905251,1683669040601,2023-05-09 21:48:25.251000,2023-05-09 21:50:40.601000,1846.79,1848.25,1846.79,1847.65,223.4743,412922.15,610
ETHUSDT,1683668699979,1683668905251,2023-05-09 21:44:59.979000,2023-05-09 21:48:25.251000,1847.01,1847.02,1845.99,1846.79,238.0335,439458.04,610
ETHUSDT,1683668506929,1683668699979,2023-05-09 21:41:46.929000,2023-05-09 21:44:59.979000,1846.88,1847.58,1846.42,1847.02,293.5185,542146.64,610
ETHUSDT,1683668313844,1683668506929,2023-05-09 21:38:33.844000,2023-05-09 21:41:46.929000,1848.87,1848.88,1846.88,1846.89,214.117,395664.43,610
ETHUSDT,1683668210774,1683668313844,2023-05-09 21:36:50.774000,2023-05-09 21:38:33.844000,1848.02,1848.88,1848.01,1848.87,411.2369,760089.01,610
ETHUSDT,1683668028860,1683668210774,2023-05-09 21:33:48.860000,2023-05-09 21:36:50.774000,1847.37,1848.58,1847.37,1848.01,274.203,506680.21,610
ETHUSDT,1683667887080,1683668028858,2023-05-09 21:31:27.080000,2023-05-09 21:33:48.858000,1845.2,1847.39,1844.97,1847.38,289.9139,535276.35,610
ETHUSDT,1683667681369,1683667887080,2023-05-09 21:28:01.369000,2023-05-09 21:31:27.080000,1846.42,1846.49,1845.19,1845.2,304.9008,562868.75,610
ETHUSDT,1683667429414,1683667681369,2023-05-09 21:23:49.414000,2023-05-09 21:28:01.369000,1845.06,1846.42,1844.88,1846.4,218.3672,402951.69,610
