Date,Time,Open,High,Low,Close,Volume
2005.02.01,00:00,1.30386,1.3279,1.27332,1.32286,649768
2005.03.01,00:00,1.32286,1.34806,1.2858,1.2963,713298
2005.04.01,00:00,1.2963,1.3125,1.27666,1.2872,714774
2005.05.02,00:00,1.2872,1.29892,1.22964,1.23034,643718
2005.06.01,00:00,1.23034,1.23526,1.1983,1.2108,797478
2005.07.01,00:00,1.2108,1.2255,1.18692,1.2122,780861
2005.08.01,00:00,1.2122,1.24866,1.2119,1.23468,846250
2005.09.01,00:00,1.23468,1.25892,1.19796,1.2027,820994
2005.10.03,00:00,1.2027,1.22038,1.18756,1.19922,773750
2005.11.01,00:00,1.19922,1.20846,1.16402,1.17878,782453
2005.12.01,00:00,1.17878,1.20615,1.16608,1.1848,722024
2006.01.02,00:00,1.1848,1.23232,1.18015,1.21558,474727
2006.02.01,00:00,1.21558,1.21636,1.1827,1.19214,188615
2006.03.01,00:00,1.19214,1.22066,1.18614,1.2118,233607
2006.04.03,00:00,1.2118,1.2641,1.20342,1.263,214104
2006.05.01,00:00,1.263,1.29697,1.2557,1.28102,389815
2006.06.01,00:00,1.28102,1.2979,1.2479,1.2791,348378
2006.07.03,00:00,1.2791,1.28676,1.24576,1.27668,295950
2006.08.01,00:00,1.27668,1.2938,1.26946,1.28128,303898
2006.09.01,00:00,1.28128,1.2874,1.26305,1.26745,285998
2006.10.02,00:00,1.26745,1.27872,1.2483,1.27618,312162
2006.11.01,00:00,1.27618,1.32744,1.26837,1.32428,347649
2006.12.01,00:00,1.32428,1.3367,1.3053,1.31977,479686
2007.01.01,00:00,1.31977,1.32964,1.28666,1.30323,623034
2007.02.01,00:00,1.30323,1.3259,1.29139,1.3229,454195
2007.03.01,00:00,1.3229,1.34112,1.30725,1.33545,426910
2007.04.02,00:00,1.33545,1.36808,1.33197,1.3648,411728
2007.05.01,00:00,1.3648,1.36731,1.34076,1.34532,537491
2007.06.01,00:00,1.34532,1.35542,1.32638,1.35415,357033
2007.07.02,00:00,1.35415,1.38522,1.35288,1.3684,363922
2007.08.01,00:00,1.3684,1.38405,1.33612,1.36295,536171
2007.09.03,00:00,1.36295,1.42786,1.35517,1.4267,369949
2007.10.01,00:00,1.4267,1.45042,1.40152,1.4487,479857
2007.11.01,00:00,1.4487,1.49682,1.44042,1.46335,652160
2007.12.03,00:00,1.46335,1.4771,1.43106,1.4592,516338
2008.01.01,00:00,1.4592,1.49224,1.43664,1.48604,774782
2008.02.01,00:00,1.48604,1.5239,1.44392,1.51786,712073
2008.03.03,00:00,1.51786,1.5905,1.51458,1.57884,772379
2008.04.01,00:00,1.57884,1.60194,1.55108,1.56226,814258
2008.05.01,00:00,1.56226,1.5818,1.52852,1.55539,710182
2008.06.02,00:00,1.55539,1.58432,1.53038,1.5756,765017
2008.07.01,00:00,1.5756,1.60388,1.5522,1.56038,910868
2008.08.01,00:00,1.56038,1.56312,1.45718,1.46735,961805
2008.09.01,00:00,1.46735,1.48662,1.38829,1.40922,1185607
2008.10.01,00:00,1.40922,1.41744,1.23298,1.27238,2383310
2008.11.03,00:00,1.27238,1.31165,1.23888,1.26909,2430871
2008.12.01,00:00,1.26909,1.47204,1.25494,1.39759,2132652
2009.01.01,00:00,1.39759,1.40565,1.27633,1.28127,2014839
2009.02.02,00:00,1.28127,1.3094,1.25134,1.26716,1795233
2009.03.02,00:00,1.26716,1.3739,1.24562,1.32508,1939810
2009.04.01,00:00,1.32508,1.35825,1.28854,1.32298,1584801
2009.05.01,00:00,1.32298,1.41692,1.32125,1.4149,1737482
2009.06.01,00:00,1.4149,1.43386,1.37482,1.40327,1576192
2009.07.01,00:00,1.40327,1.43046,1.38328,1.42571,1209118
