DATE,TIME,O,H,L,C,V
2007.05.21,00:00,1.35084,1.3531,1.341,1.34404,121171
2007.05.28,00:00,1.34404,1.35212,1.33919,1.34509,104749
2007.06.04,00:00,1.34509,1.35542,1.33204,1.33734,80360
2007.06.11,00:00,1.33734,1.33894,1.32638,1.33887,85329
2007.06.18,00:00,1.33887,1.347,1.33728,1.3469,90682
2007.06.25,00:00,1.3469,1.35415,1.34157,1.35415,75972
2007.07.02,00:00,1.35415,1.36591,1.35288,1.36278,68027
2007.07.09,00:00,1.36278,1.38133,1.35943,1.37835,77398
2007.07.16,00:00,1.37835,1.38437,1.37528,1.38272,71645
2007.07.23,00:00,1.38272,1.38522,1.36272,1.36352,106105
2007.07.30,00:00,1.36352,1.38189,1.36093,1.37735,122226
2007.08.06,00:00,1.37735,1.38405,1.36419,1.36939,115889
2007.08.13,00:00,1.36939,1.37087,1.33612,1.34745,157983
2007.08.20,00:00,1.34745,1.36817,1.34512,1.36754,96206
2007.08.27,00:00,1.36754,1.37196,1.3563,1.36295,84614
2007.09.03,00:00,1.36295,1.3799,1.35517,1.3768,84577
2007.09.10,00:00,1.3768,1.39275,1.37666,1.38745,96422
2007.09.17,00:00,1.38745,1.41204,1.38286,1.4091,97055
2007.09.24,00:00,1.4091,1.42786,1.40616,1.4267,91895
2007.10.01,00:00,1.4267,1.42815,1.40322,1.41353,84768
2007.10.08,00:00,1.41353,1.42412,1.40152,1.41787,96342
2007.10.15,00:00,1.41787,1.43196,1.41448,1.43011,104273
2007.10.22,00:00,1.43011,1.43944,1.41266,1.43929,139661
2007.10.29,00:00,1.43929,1.45284,1.43748,1.45043,101848
2007.11.05,00:00,1.45043,1.47526,1.44434,1.46783,126328
2007.11.12,00:00,1.46783,1.47254,1.45206,1.46622,152175
2007.11.19,00:00,1.46622,1.49682,1.46218,1.48375,156832
2007.11.26,00:00,1.48375,1.49082,1.46285,1.46335,169790
2007.12.03,00:00,1.46335,1.4771,1.45278,1.46578,146618
2007.12.10,00:00,1.46578,1.47504,1.44118,1.44297,147279
2007.12.17,00:00,1.44297,1.44534,1.43106,1.4382,134939
2007.12.24,00:00,1.4382,1.4728,1.43665,1.47235,69274
2007.12.31,00:00,1.47235,1.48254,1.45715,1.47429,118775
2008.01.07,00:00,1.47429,1.48194,1.46394,1.47767,166301
2008.01.14,00:00,1.47767,1.49224,1.45896,1.46212,166493
2008.01.21,00:00,1.46212,1.47794,1.43664,1.46813,197439
2008.01.28,00:00,1.46813,1.49534,1.46612,1.48025,183804
2008.02.04,00:00,1.48025,1.48492,1.44392,1.45056,192705
2008.02.11,00:00,1.45056,1.47098,1.44818,1.4682,160459
2008.02.18,00:00,1.4682,1.48636,1.46112,1.48267,145033
2008.02.25,00:00,1.48267,1.5239,1.47778,1.51786,174074
2008.03.03,00:00,1.51786,1.54625,1.51458,1.53557,147245
2008.03.10,00:00,1.53557,1.56878,1.5283,1.56737,202458
